Noun,Denominal,Non-denominal,Others
מטמון,למטמן ,לטמן להתטמן ,לטמון להטמין 
מטמון,להתמטמן ,לטמן להתטמן ,לטמון להטמין 
תגלית,לתגלת ,לגלת להתגלת ,לגלות להגלית 
אבטחה,להתאבטח ,לבטח להתבטח ,לבטוח להבטיח 
אפלה,לאפלה ,לפלה להתפלה ,לפלוה להפליה 
אפלה,להתאפלה ,לפלה להתפלה ,לפלוה להפליה 
תחרות,לתחרת ,לחרת להתחרת ,לחרות להחרית 
אזמל,לאזמל ,לזמל להתזמל ,לזמול להזמיל 
אזמל,להתאזמל ,לזמל להתזמל ,לזמול להזמיל 
תחנון,לתחנן ,לחנן להתחנן ,לחנון להחנין 
תחנון,לתחנן ,לתחנ להתתחנ ,לתחונ להתחינ 
תחנון,להתתחנן ,לתחנ להתתחנ ,לתחונ להתחינ 
מגנט,להתמגנט ,לגנט להתגנט ,לגנוט להגניט 
תלמיד,לתלמד ,ללמד להתלמד ,ללמוד להלמיד 
תסבוכת,לתסבכ ,לסבכ להתסבכ ,לסבוכ להסביכ 
בדרן,לבדרן ,לבדר להתבדר ,לבדור להבדיר 
בדרן,להתבדרן ,לבדר להתבדר ,לבדור להבדיר 
תככים,לתככם ,לככם להתככם ,לככום להככים 
תרמית,לתרמת ,לרמת להתרמת ,לרמות להרמית 
פטרון,לפטרן ,לפטר להתפטר ,לפטור להפטיר 
פטרון,להתפטרן ,לפטר להתפטר ,לפטור להפטיר 
מקשר,למקשר ,לקשר להתקשר ,לקשור להקשיר 
מקשר,להתמקשר ,לקשר להתקשר ,לקשור להקשיר 
מטבע,למטבע ,לטבע להתטבע ,לטבוע להטביע 
מטבע,להתמטבע ,לטבע להתטבע ,לטבוע להטביע 
ארמון,לארמן ,לארמ להתארמ ,לארומ להארימ 
ארמון,להתארמן ,לארמ להתארמ ,לארומ להארימ 
ארמון,לארמן ,לרמן להתרמן ,לרמון להרמין 
ארמון,להתארמן ,לרמן להתרמן ,לרמון להרמין 
מחסום,למחסם ,לחסם להתחסם ,לחסום להחסים 
מחסום,להתמחסם ,לחסם להתחסם ,לחסום להחסים 
מרכול,למרכל ,לרכל להתרכל ,לרכול להרכיל 
מרכול,להתמרכל ,לרכל להתרכל ,לרכול להרכיל 
מלקחת,למלקח ,ללקח להתלקח ,ללקוח להלקיח 
מלקחת,להתמלקח ,ללקח להתלקח ,ללקוח להלקיח 
מרעום,למרעם ,לרעם להתרעם ,לרעום להרעים 
מרעום,להתמרעם ,לרעם להתרעם ,לרעום להרעים 
מרחץ,למרחץ ,לרחץ להתרחץ ,לרחוץ להרחיץ 
מרחץ,להתמרחץ ,לרחץ להתרחץ ,לרחוץ להרחיץ 
מעשה,למעשה ,לעשה להתעשה ,לעשוה להעשיה 
מעשה,להתמעשה ,לעשה להתעשה ,לעשוה להעשיה 
ארכה,לארכה ,לרכה להתרכה ,לרכוה להרכיה 
ארכה,להתארכה ,לרכה להתרכה ,לרכוה להרכיה 
אקדח,לאקדח ,לקדח להתקדח ,לקדוח להקדיח 
אקדח,להתאקדח ,לקדח להתקדח ,לקדוח להקדיח 
אדרה,לאדרה ,לדרה להתדרה ,לדרוה להדריה 
אדרה,להתאדרה ,לדרה להתדרה ,לדרוה להדריה 
גרזן,לגרזן ,לגרז להתגרז ,לגרוז להגריז 
גרזן,להתגרזן ,לגרז להתגרז ,לגרוז להגריז 
ממשות,לממשת ,למשת להתמשת ,למשות להמשית 
ממשות,להתממשת ,למשת להתמשת ,למשות להמשית 
מצבר,למצבר ,לצבר להתצבר ,לצבור להצביר 
מצבר,להתמצבר ,לצבר להתצבר ,לצבור להצביר 
מעשר,למעשר ,לעשר להתעשר ,לעשור להעשיר 
מעשר,להתמעשר ,לעשר להתעשר ,לעשור להעשיר 
מפלס,למפלס ,לפלס להתפלס ,לפלוס להפליס 
מפלס,להתמפלס ,לפלס להתפלס ,לפלוס להפליס 
מש"ק,למש"ק ,לש"ק להתש"ק ,לש"וק להש"יק 
מש"ק,להתמש"ק ,לש"ק להתש"ק ,לש"וק להש"יק 
תקפות,לתקפת ,לקפת להתקפת ,לקפות להקפית 
מערום,למערם ,לערם להתערם ,לערום להערים 
מערום,להתמערם ,לערם להתערם ,לערום להערים 
תקרית,לתקרת ,לקרת להתקרת ,לקרות להקרית 
תזזית,לתזזת ,לזזת להתזזת ,לזזות להזזית 
מפרץ,למפרץ ,לפרץ להתפרץ ,לפרוץ להפריץ 
מפרץ,להתמפרץ ,לפרץ להתפרץ ,לפרוץ להפריץ 
מאבק,למאבק ,לאבק להתאבק ,לאבוק להאביק 
מאבק,להתמאבק ,לאבק להתאבק ,לאבוק להאביק 
אפנה,לאפנה ,לפנה להתפנה ,לפנוה להפניה 
אפנה,להתאפנה ,לפנה להתפנה ,לפנוה להפניה 
מארה,למארה ,לארה להתארה ,לארוה להאריה 
מארה,להתמארה ,לארה להתארה ,לארוה להאריה 
מזרן,למזרן ,למזר להתמזר ,למזור להמזיר 
מזרן,להתמזרן ,למזר להתמזר ,למזור להמזיר 
מזרן,למזרן ,לזרן להתזרן ,לזרון להזרין 
מזרן,להתמזרן ,לזרן להתזרן ,לזרון להזרין 
אחדות,לאחדת ,לחדת להתחדת ,לחדות להחדית 
אחדות,להתאחדת ,לחדת להתחדת ,לחדות להחדית 
מנתח,למנתח ,לנתח להתנתח ,לנתוח להנתיח 
מנתח,להתמנתח ,לנתח להתנתח ,לנתוח להנתיח 
תחכום,לתחכם ,לחכם להתחכם ,לחכום להחכים 
אחזקה,לאחזק ,לחזק להתחזק ,לחזוק להחזיק 
אחזקה,להתאחזק ,לחזק להתחזק ,לחזוק להחזיק 
תשליך,לתשלך ,לשלך להתשלך ,לשלוך להשליך 
מלאך,למלאך ,ללאך להתלאך ,ללאוך להלאיך 
מלאך,להתמלאך ,ללאך להתלאך ,ללאוך להלאיך 
מסנן,למסנן ,למסנ להתמסנ ,למסונ להמסינ 
מסנן,להתמסנן ,למסנ להתמסנ ,למסונ להמסינ 
מסנן,למסנן ,לסנן להתסנן ,לסנון להסנין 
מסנן,להתמסנן ,לסנן להתסנן ,לסנון להסנין 
משקע,למשקע ,לשקע להתשקע ,לשקוע להשקיע 
משקע,להתמשקע ,לשקע להתשקע ,לשקוע להשקיע 
אמנה,לאמנה ,למנה להתמנה ,למנוה להמניה 
אמנה,להתאמנה ,למנה להתמנה ,למנוה להמניה 
פעמון,לפעמן ,לפעמ להתפעמ ,לפעומ להפעימ 
פעמון,להתפעמן ,לפעמ להתפעמ ,לפעומ להפעימ 
תמרון,לתמרן ,למרן להתמרן ,למרון להמרין 
תמרון,לתמרן ,לתמר להתתמר ,לתמור להתמיר 
תמרון,להתתמרן ,לתמר להתתמר ,לתמור להתמיר 
מבנה,למבנה ,לבנה להתבנה ,לבנוה להבניה 
מבנה,להתמבנה ,לבנה להתבנה ,לבנוה להבניה 
רקדן,לרקדן ,לרקד להתרקד ,לרקוד להרקיד 
רקדן,להתרקדן ,לרקד להתרקד ,לרקוד להרקיד 
מספד,למספד ,לספד להתספד ,לספוד להספיד 
מספד,להתמספד ,לספד להתספד ,לספוד להספיד 
